category,code,title,Sem No,,,,,
Engineering Sciences (ES),19CS1203J,OBJECT ORIENTED PROGRAMMING,,,,,,
Engineering Sciences (ES),19CS1203,OBJECT ORIENTED PROGRAMMING,2,YES,,,,
Engineering Sciences (ES),19SC1202N,DATA STRUCTURES,,,,,,
Engineering Sciences (ES),19SC1202J,DATA STRUCTURES,,,,,,
Engineering Sciences (ES),19SC1202,DATA STRUCTURES,2,YES,,,,
Engineering Sciences (ES),19SC1209N,DESIGN TOOLS WORKSHOP - II,,,,,,
Engineering Sciences (ES),19SC1209J,DESIGN TOOLS WORKSHOP - II,,,,,,
Engineering Sciences (ES),19SC1209,DESIGN TOOLS WORKSHOP - II,3,YES,,,,
Engineering Sciences (ES),19EC1202N,COMPUTER ORGANIZATION & ARCHITECTURE,,,,,,
Engineering Sciences (ES),19EC1202J,COMPUTER ORGANIZATION & ARCHITECTURE,,,,,,
Engineering Sciences (ES),19EC1202,COMPUTER ORGANIZATION & ARCHITECTURE,3,YES,,,,
Professional Core (PC),20CS2104S,DATABASE MANAGEMENT SYSTEMS,3,YES,,,,
Professional Core (PC),20CS2104A,DATABASE MANAGEMENT SYSTEMS,3,YES,,,,
Professional Core (PC),20CS2104P,DATABASE MANAGEMENT SYSTEMS,3,YES,,,,
Professional Core (PC),20CS2205R,ELEMENTS OF SOFTWARE CONSTRUCTION,3,YES,,,,
Professional Core (PC),20CS2205A,ELEMENTS OF SOFTWARE CONSTRUCTION,3,YES,,,,
Professional Core (PC),20CS2205P,ELEMENTS OF SOFTWARE CONSTRUCTION,3,YES,,,,
Professional Core (PC),20CS2103S,OPERATING SYSTEMS DESIGN,3,YES,,,,
Professional Core (PC),20CS2103A,OPERATING SYSTEMS DESIGN,,,,,,
Professional Core (PC),20CS2103P,OPERATING SYSTEMS DESIGN,4,YES,,,,
Professional Core (PC),20CS2222RA,COMPUTER NETWORKS & SECURITY ,4,YES,,,,
Professional Core (PC),20CS2222RB,COMPUTER NETWORKS & SECURITY ,4,YES,,,,
Professional Core (PC),20CS2222AH,COMPUTER NETWORKS & SECURITY ,,,,,,
Professional Core (PC),20CS2222AA,COMPUTER NETWORKS & SECURITY ,4,YES,,,,
Professional Core (PC),20CS2222PA,COMPUTER NETWORKS & SECURITY ,4,YES,,,,
Professional Core (PC),20CS2221RB,AI FOR DATA SCIENCE,4,YES,,,,
Professional Core (PC),20CS2221AA,AI FOR DATA SCIENCE,4,YES,,,,
Professional Core (PC),20CS2221AH,AI FOR DATA SCIENCE,,,,,,
Professional Core (PC),20CS2221PA,AI FOR DATA SCIENCE,,,,,,
Professional Core (PC),20CS2220RA,DESIGN & ANALYSIS OF ALGORITHMS,4,YES,,,,
Professional Core (PC),20CS2220AH,DESIGN & ANALYSIS OF ALGORITHMS,,,,,,
Professional Core (PC),20CS2220RB,DESIGN & ANALYSIS OF ALGORITHMS,4,YES,,,,
Professional Core (PC),20CS2220AA,DESIGN & ANALYSIS OF ALGORITHMS,5,YES,,,,
Professional Core (PC),20CS2220PA,DESIGN & ANALYSIS OF ALGORITHMS,,,,,,
Professional Core (PC),20CS2107RA,ENTERPRISE PROGRAMMING,5,YES,,,,
Professional Core (PC),20CS2107RB,ENTERPRISE PROGRAMMING,5,YES,,,,
Professional Core (PC),20CS2107AA,ENTERPRISE PROGRAMMING,7,YES,,,,
Professional Core (PC),20CS2107PA,ENTERPRISE PROGRAMMING,3,YES,,,,
Professional Core (PC),20CS4115,PARALLEL & DISTRIBUTED COMPUTING,3,YES,,,,
Skill Development Core Courses (SDC),20TS2101S,MEA(R)N STACK WEB DEVELOPMENT,4,YES,,,,
Skill Development Core Courses (SDC),20TS2101P,MEA(R)N STACK WEB DEVELOPMENT,4,YES,,,,
Skill Development Core Courses (SDC),20TS2290RB,PYTHON FULL STACK DEVELOPMENT/TECHNICAL SKILLING 2,4,YES,,,,
Skill Development Core Courses (SDC),20TS2290AA,PYTHON FULL STACK DEVELOPMENT,5,YES,,,,
Skill Development Core Courses (SDC),20TS2290AH,PYTHON FULL STACK DEVELOPMENT,,,,,,
Skill Development Core Courses (SDC),20TS2290PA,PYTHON FULL STACK DEVELOPMENT,5,YES,,,,
Skill Development Core Courses (SDC),20TS3101RB,JAVA FULL STACK DEVELOPMENT+MICRO SERVICES,SUMMER,,,,,
Skill Development Core Courses (SDC),20TS3103AA,JAVA FULL STACK DEVELOPMENT,SUMMER,,,,,
Skill Development Core Courses (SDC),20TS1005RA,TOOL BASED LEARNING-1(Cloud Fundamentals),SUMMER,,,,,
Skill Development Core Courses (SDC),20TS2006RA,TOOL BASED LEARNING -2(SCRUM Fundamentals)),6,YES,,,,
Skill Development Core Courses (SDC),20TS3007RA,TOOL BASED LEARNING-3(Speciality Certification),6,YES,,,,
Skill Development Elective Courses (SDC ELEC),20TS3201RB,TECHNICAL SKILLS - 4,5,YES,,,,
Skill Development Elective Courses (SDC ELEC),20CS3297AA,IT VENTURE MANAGEMENT,5,YES,,,,
Professional Elective - 1 (PE1),20CS3020RB,MACHINE LEARNING,5,YES,,,,
Professional Elective - 1 (PE1),20CS3020AA,MACHINE LEARNING,5,YES,,,,
Professional Elective - 1 (PE1),20CS3020PA,MACHINE LEARNING,5,YES,,,,
Professional Elective - 1 (PE1),20CS3051RB,DATA VISUALIZATION TECHNIQUES,5,YES,,,,
Professional Elective - 1 (PE1),20CS3275AA,DATA VISUALIZATION TECHNIQUES,5,YES,,,,
Professional Elective - 1 (PE1),20CS3275PA,DATA VISUALIZATION TECHNIQUES,5,YES,,,,
Professional Elective - 1 (PE1),20CS3037RB,CLOUD INFRASTRUCTURE & SERVICES,5,YES,,,,
Professional Elective - 1 (PE1),20CS3037AA,CLOUD INFRASTRUCTURE & SERVICES,5,YES,,,,
Professional Elective - 1 (PE1),20CS3037PA,CLOUD INFRASTRUCTURE & SERVICES,5,YES,,,,
Professional Elective - 1 (PE1),20CS3117AA,IOT SENSING  AND ACTUATING DEVICES,5,YES,,,,
Professional Elective - 1 (PE1),20CS3117PA,IOT SENSING AND ACTUATING DEVICES,5,YES,,,,
Professional Elective - 1 (PE1),20CS3062RB,SOFTWARE VERIFICATION & VALIDATION,5,YES,,,,
Professional Elective - 1 (PE1),20CS3062AA,SOFTWARE VERIFICATION & VALIDATION,5,YES,,,,
Professional Elective - 1 (PE1),20CS3062PA,SOFTWARE VERIFICATION & VALIDATION,5,YES,,,,
Professional Elective - 1 (PE1),20CS3041RB,CRYPT ANALYSIS & CYBER DEFENSE,5,YES,,,,
Professional Elective - 1 (PE1),20CS3041AA,CRYPT ANALYSIS & CYBER DEFENSE,5,YES,,,,
Professional Elective - 1 (PE1),20CS3041PA,CRYPT ANALYSIS & CYBER DEFENSE,5,YES,,,,
Professional Elective - 1 (PE1),20CS3071RB,PROGRAMMING FOR GAME DEVELOPMENT,5,YES,,,,
Professional Elective - 1 (PE1),20CS3071AA,PROGRAMMING FOR GAME DEVELOPMENT,5,YES,,,,
Professional Elective - 1 (PE1),20CS3071PA,PROGRAMMING FOR GAME DEVELOPMENT,5,YES,,,,
Professional Elective - 2 (PE2),20CS3022RA,SOFT COMPUTING,5,YES,,,,
Professional Elective - 2 (PE2),20CS3022PA,SOFT COMPUTING,,,,,,
Professional Elective - 2 (PE2),20CS3026RA,ARTIFICIAL NEURAL NETWORKS,5,YES,,,,
Professional Elective - 2 (PE2),"
20CS3026RB",ARTIFICIAL NEURAL NETWORKS,5,YES,,,,
Professional Elective - 2 (PE2),20CS3026PA,ARTIFICIAL NEURAL NETWORKS,,,,,,
Professional Elective - 2 (PE2),20CS3052RA,DATA WAREHOUSING & MINING,5,YES,,,,
Professional Elective - 2 (PE2),20CS3052RB,DATA WAREHOUSING & MINING,5,YES,,,,
Professional Elective - 2 (PE2),20CS3052PA,DATA WAREHOUSING & MINING,5,YES,,,,
Professional Elective - 2 (PE2),20CS3032RB,ADVANCED OPERATING SYSTEMS,5,YES,,,,
Professional Elective - 2 (PE2),20CS3234RA,APPLICATION DEVELOPMENT ON CLOUD,5,YES,,,,
Professional Elective - 2 (PE2),20CS3234PA,APPLICATION DEVELOPMENT ON CLOUD,5,YES,,,,
Professional Elective - 2 (PE2),20CS3235RA,SOLUTIONS ARCHITECTING ON CLOUD,5,YES,,,,
Professional Elective - 2 (PE2),20CS3235PA,SOLUTIONS ARCHITECTING ON CLOUD,5,YES,,,,
Professional Elective - 2 (PE2),20CS3042RA,NETWORK & INFRASTRUCTURE SECURITY,,,,,,
Professional Elective - 2 (PE2),20CS3042PA,NETWORK & INFRASTRUCTURE SECURITY,5,YES,,,,
Professional Elective - 2 (PE2),20CS3045RA,INTRODUCTION TO BLOCKCHAIN & CRYPTOCURRENCIES,5,YES,,,,
Professional Elective - 2 (PE2),20CS3045RB,INTRODUCTION TO BLOCKCHAIN & CRYPTOCURRENCIES,,,,,,
Professional Elective - 2 (PE2),20CS3045PA,INTRODUCTION TO BLOCKCHAIN & CRYPTOCURRENCIES,5,YES,,,,
Professional Elective - 2 (PE2),20CS3064RA,UX DESIGN,5,YES,,,,
Professional Elective - 2 (PE2),20CS3064RB,UX DESIGN,5,YES,,,,
Professional Elective - 2 (PE2),20CS3064PA,UX DESIGN,5,YES,,,,
Professional Elective - 2 (PE2),20CS3065RB,DESIGN PATTERNS & CLEAN CODING TECHNIQUES,5,YES,,,,
Professional Elective - 2 (PE2),20CS3118RA,INTERNET OF THINGS - ARCHITECTURE & PROTOCOLS,6,YES,,,,
Professional Elective - 2 (PE2),20CS3118PA,INTERNET OF THINGS - ARCHITECTURE & PROTOCOLS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3298AA,CYBER PHYSICAL SYSTEMS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3298PA,CYBER PHYSICAL SYSTEMS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3281RB,CLOUD & SERVERLESS COMPUTING,6,YES,,,,
Professional Elective - 3 (PE3),20CS3281AA,CLOUD & SERVERLESS COMPUTING,6,YES,,,,
Professional Elective - 3 (PE3),20CS3281PA,CLOUD & SERVERLESS COMPUTING,6,YES,,,,
Professional Elective - 3 (PE3),20CS3256RB,CONTINUOUS DELIVERY & DEVOPS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3256AA,CONTINUOUS DELIVERY & DEVOPS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3256PA,CONTINUOUS DELIVERY & DEVOPS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3269RB,DEEP LEARNING,6,YES,,,,
Professional Elective - 3 (PE3),20CS3269AA,DEEP LEARNING,6,YES,,,,
Professional Elective - 3 (PE3),20CS3269PA,DEEP LEARNING,6,YES,,,,
Professional Elective - 3 (PE3),20CS3275RB,BIG DATA ANALYTICS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3051AA,BIG DATA ANALYTICS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3051PA,BIG DATA ANALYTICS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3259RB,DIGITAL FORENSICS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3259AA,DIGITAL FORENSICS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3259PA,DIGITAL FORENSICS,6,YES,,,,
Professional Elective - 3 (PE3),20CS3266RB,AR & VR APPLICATION DEVELOPMENT,6,YES,,,,
Professional Elective - 3 (PE3),20CS3266AA,AR & VR APPLICATION DEVELOPMENT,6,YES,,,,
Professional Elective - 3 (PE3),20CS3266PA,AR & VR APPLICATION DEVELOPMENT,6,YES,,,,
Professional Elective - 4 (PE4),20CS3251RA,ADVANCE COMPUTER ARCHITECTURE,6,,,,,
Professional Elective - 4 (PE4),20CS3251PA,ADVANCE COMPUTER ARCHITECTURE,6,,,,,
Professional Elective - 4 (PE4),20CS3252RA,PARALLEL ALGORITHMS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3252PA,PARALLEL ALGORITHMS,6,,,,,
Professional Elective - 4 (PE4),20CS3212M,INTRODUCTION TO PARALLEL PROGRAMMING,6,YES,,,,
Professional Elective - 4 (PE4),20CS3285RB,ARCHITECTING CLOUD SOLUTIONS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3257RA,SOFTWARE PROJECT MANAGEMENT,6,YES,,,,
Professional Elective - 4 (PE4),20CS3257PA,SOFTWARE PROJECT MANAGEMENT,,,,,,
Professional Elective - 4 (PE4),20CS3231RA,VISUAL PROGRAMMING,6,YES,,,,
Professional Elective - 4 (PE4),20CS3231RB,VISUAL PROGRAMMING,6,YES,,,,
Professional Elective - 4 (PE4),20CS3231PA,VISUAL PROGRAMMING,,,,,,
Professional Elective - 4 (PE4),20CS3270RA,COGNITIVE COMPUTING,6,YES,,,,
Professional Elective - 4 (PE4),20CS3270RB,COGNITIVE COMPUTING,6,YES,,,,
Professional Elective - 4 (PE4),20CS3270PA,COGNITIVE COMPUTING,6,YES,,,,
Professional Elective - 4 (PE4),20CS3217M,REINFORCEMENT LEARNING,6,YES,,,,
Professional Elective - 4 (PE4),20CS3271RA,PERCEPTION AND COMPUTER VISION,,,,,,
Professional Elective - 4 (PE4),20CS3271PA,PERCEPTION AND COMPUTER VISION,6,YES,,,,
Professional Elective - 4 (PE4),20CS3276RA,BIG DATA OPTMIZATION,6,YES,,,,
Professional Elective - 4 (PE4),20CS3276RB,BIG DATA OPTMIZATION,6,YES,,,,
Professional Elective - 4 (PE4),20CS3276PA,BIG DATA OPTMIZATION,6,YES,,,,
Professional Elective - 4 (PE4),20CS3277RA,BIOINFORMATICS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3277PA,BIOINFORMATICS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3277M,BIOINFORMATICS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3284RA,DIGITAL MEDIA ANALYTICS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3284PA,DIGITAL MEDIA ANALYTICS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3287RA,CLOUD SECURITY,6,NOT OFFERED,,,,
Professional Elective - 4 (PE4),20CS3287PA,CLOUD SECURITY,6,NOT OFFERED,,,,
Professional Elective - 4 (PE4),20CS3260RA,DATABASE & SYSTEM SECURITY,6,YES,,,,
Professional Elective - 4 (PE4),20CS3260PA,DATABASE & SYSTEM SECURITY,6,YES,,,,
Professional Elective - 4 (PE4),20CS3213M,HARDWARE SECURITY,,,,,,
Professional Elective - 4 (PE4),20CS3261RA,PROGRAMMING FOR SMART CONTRACTS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3261RB,PROGRAMMING FOR SMART CONTRACTS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3261PA,PROGRAMMING FOR SMART CONTRACTS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3296RB,COMPUTER GRAPHICS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3278RA,DIGITAL VIDEO PROCESSING,6,NOT OFFERED,,,,
Professional Elective - 4 (PE4),20CS3278PA,DIGITAL VIDEO PROCESSING,6,NOT OFFERED,,,,
Professional Elective - 4 (PE4),20CS3299RA,FOUNDATIONS OF EMBEDDED & HYBRID SYSTEMS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3299PA,FOUNDATIONS OF EMBEDDED & HYBRID SYSTEMS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3211M,INTRODUCTION TO INDUSTRY 4.0 AND INDUSTRIAL INTERNET OF THINGS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3265RA,WIRELESS SENSOR NETWORKS,6,YES,,,,
Professional Elective - 4 (PE4),20CS3265PA,WIRELESS SENSOR NETWORKS,6,YES,,,,
Professional Elective - 5 (PE5),20CS3250RA,CLOUD COMPUTING FOR IOT ENGINEERS,6,YES,,,,
Professional Elective - 5 (PE5),20CS3250PA,CLOUD COMPUTING FOR IOT ENGINEERS,,,,,,
Professional Elective - 5 (PE5),20CS3253RA,EDGE COMPUTING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3253RB,EDGE COMPUTING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3253PA,EDGE COMPUTING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3214M,GPU ARCHITECTURES AND PROGRAMMING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3038RA,HIGH PERFORMANCE COMPUTING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3038PA,HIGH PERFORMANCE COMPUTING,,,,,,
Professional Elective - 5 (PE5),20CS3273RA,NATURAL LANGUAGE PROCESSING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3273RB,NATURAL LANGUAGE PROCESSING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3273PA,NATURAL LANGUAGE PROCESSING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3273M,NATURAL LANGUAGE PROCESSING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3274RA,SPEECH PROCESSING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3274PA,SPEECH PROCESSING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3272RA,COMPUTATIONAL EPIDEMIOLOGY,6,YES,,,,
Professional Elective - 5 (PE5),20CS3272PA,COMPUTATIONAL EPIDEMIOLOGY,,,,,,
Professional Elective - 5 (PE5),20CS3280RA,GRAPH & WEB ANALYTICS,6,YES,,,,
Professional Elective - 5 (PE5),20CS3280RB,GRAPH & WEB ANALYTICS,6,YES,,,,
Professional Elective - 5 (PE5),20CS3280PA,GRAPH & WEB ANALYTICS,6,YES,,,,
Professional Elective - 5 (PE5),20CS3262RA,SECURE SOFTWARE ENGINEERING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3262PA,SECURE SOFTWARE ENGINEERING,6,YES,,,,
Professional Elective - 5 (PE5),20CS3215M,QUANTUM ALGORITHMS AND CRYPTOGRAPHY,6,YES,,,,
Professional Elective - 5 (PE5),20CS3264RA,WEB SECURITY,6,YES,,,,
Professional Elective - 5 (PE5),20CS3264PA,WEB SECURITY,,YES,,,,
Professional Elective - 5 (PE5),20CS3268RA,PRINCIPLES OF GAME DESIGN,6,YES,,,,
Professional Elective - 5 (PE5),20CS3267RB,BUSINESS OF GAMES & ENTREPRENEURSHIP ,6,YES,,,,
Professional Elective - 5 (PE5),20CS3268PA,PRINCIPLES OF GAME DESIGN,6,YES,,,,
Professional Elective - 5 (PE5),20CS3216M,BUSINESS ANALYTICS FOR MANAGEMENT DECISION,6,YES,,,,
Professional Elective - 5 (PE5),20CS3279RA,ADVANCED DATABASES,6,YES,,,,
Professional Elective - 5 (PE5),20CS3279PA,ADVANCED DATABASES,,,,,,
Professional Elective - 5 (PE5),20CS3255RA,CROSS PLATFORM DEVELOPMENT FRAMEWORKS,6,YES,,,,
Professional Elective - 5 (PE5),20CS3255RB,CROSS PLATFORM DEVELOPMENT FRAMEWORKS,6,YES,,,,
Professional Elective - 5 (PE5),20CS3255PA,CROSS PLATFORM DEVELOPMENT FRAMEWORKS,6,YES,,,,
Professional Elective - 5 (PE5),20CS3295RA,SOFTWARE ARCHITECTURE & DESIGN,5,YES,,,,
Professional Elective - 5 (PE5),20CS3295PA,SOFTWARE ARCHITECTURE & DESIGN,5,YES,,,,
Flexi Core (FXC),20CS3061RB,AUTOMATA THEORY & FORMAL LANGUAGES,5,YES,,,,
Flexi Core (FXC),20CS3061AA,AUTOMATA THEORY & FORMAL LANGUAGES,5,YES,,,,
Flexi Core (FXC),20CS3061PA,AUTOMATA THEORY & FORMAL LANGUAGES,5,YES,,,,
Flexi Core (FXC),20CS3234AA,APPLICATION DEVELOPMENT ON CLOUD,5,YES,,,,
Flexi Core (FXC),20CS3234PA,APPLICATION DEVELOPMENT ON CLOUD,6,YES,,,,
Flexi Core (FXC),20CS3235AA,SOLUTIONS ARCHITECTING ON CLOUD,,YES,,,,
Flexi Core (FXC),20CS3235PA,SOLUTIONS ARCHITECTING ON CLOUD,6,YES,,,,
Flexi Core (FXC),20CS3204RB,COMPILER DESIGN,6,YES,,,,
Flexi Core (FXC),20CS3204AA,COMPILER DESIGN,6,YES,,,,
Flexi Core (FXC),20CS3204PA,COMPILER DESIGN,6,YES,,,,
Flexi Core (FXC),20CS3016AA,.NET PROGRAMMING (EPAM),6,YES,,,,
Flexi Core (FXC),20CS3016PA,.NET PROGRAMMING (EPAM),6,YES,,,,
Flexi Core (FXC),20CS3017AA,FRONT END WEB DEVELOPMENT (EPAM),6,YES,,,,
Flexi Core (FXC),20CS3017PA,FRONT END WEB DEVELOPMENT (EPAM),6,YES,,,,
Flexi Core (FXC),20CS3018AA,SOFTWARE TESTING (EPAM),6,YES,,,,
Flexi Core (FXC),20CS3018PA,SOFTWARE TESTING (EPAM),6,YES,,,,
Flexi Core (FXC),20CS3019AA,CLOUD DEVOPS (EPAM),5,YES,,,,
Flexi Core (FXC),20CS3019PA,CLOUD DEVOPS (EPAM),6,YES,,,,
Project Courses (PR),20IE3042AA,RESEARCH SEMINAR,,,,,,
Project Courses (PR),20IE3043RA,TERM PAPER,,,,,,
Project Courses (PR),20IE3043RB,TERM PAPER,7,YES,,,,
Project Courses (PR),20IE4053,INTERNSHIP,"7,8",YES,,,,
Project Courses (PR),20IE4051,INTERNSHIP-1,7,,,,,
Project Courses (PR),20IE4050,PRACTICE SCHOOL,7,YES,5 courses only,,,
Project Courses (PR),20IE4049,"
CAPSTONE PROJECT",7,YES,,,,
Project Courses (PR),20IE4048A,CAPSTONE PROJECT-1,,,,,,
Project Courses (PR),20IE4048,CAPSTONE PROJECT-1,,,,,,
Project Courses (PR),20IE4150,CAPSTONE PROJECT-1,8,YES,,,,
Project Courses (PR),20IE4150A,CAPSTONE PROJECT-1,8,YES,,,,
Project Courses (PR),20IE4052,INTERNSHIP-2,8,YES,,,,
Project Courses (PR),20IE4049A,CAPSTONE PROJECT-2,,,,,,
Project Courses (PR),20IE4250,CAPSTONE PROJECT-2,,,,,,
Project Courses (PR),20IE4250A,CAPSTONE PROJECT-2,SUMMER,YES,3,,,
Project Courses (PR),20IE2246RA,TECHNICAL INTERNSHIP,SUMMER,YES,5,,,
Project Courses (PR),20IE2050,SOCIAL INTERNSHIP,3,YES,,,,
Project Courses (PR),20IE4050RA,RESEARCH INTERNSHIP,,,,,,
Project Courses (PR),20IE2246RB,TECHNICAL INTERNSHIP,,NOT OFFERED,,,,
Physics Elective (PHY),18PH4101,QUANTUM PHYSICS FOR ENGINEERS,,NOT OFFERED,,,,
Physics Elective (PHY),19PH4002M,OPTICAL ENGINEERING,3,YES,,,,
Physics Elective (PHY),19PH4003M,SEMICONDUCTOR DEVICES,,NOT OFFERED,,,,
Chemistry Elective (CHE),18CY1005,CHEMISTRY FOR ENGINEERS,,NOT OFFERED,,,,
Open Elective 1 (OE1),20BT40A1,IPR & PATENT LAWS,,YES,,,,
Open Elective 1 (OE1),20BT40A9,BIOMATERIALS,,NOT OFFERED,,,,
Open Elective 1 (OE1),OEME4001M,GRAPHIC DESIGN,,,,,,
Open Elective 1 (OE1),20OE4002M,PHOTOGRAPHY BASICS AND BEYOND FROM SMART PHONE TO DSLR,,,,,,
Open Elective 1 (OE1),20OE4001M,GRAPHIC DESIGN,,NOT OFFERED,,,,
Open Elective 1 (OE1),18OE4002M,PHOTOGRAPHY BASICS AND BEYOND FROM SMART PHONE TO DSLR,7,YES,,,,
Open Elective 1 (OE1),20OE4003M,EXPLORING OUR RESPONSES TO CLIMATE CHANGE,4,YES,,,,
Open Elective 1 (OE1),OEVC4002M,PHOTOGRAPHY BASICS,,,,,,
